,0
Store,0.20995807727594118
DayOfWeek,0.07333018336244321
Promo,0.23360694198763401
StateHoliday,0.00014486440739000435
SchoolHoliday,0.002092289058799641
Month,0.012266250518560447
Day,0.04477169053254326
WeekOfYear,0.04230702434937411
Year,0.004446261975268923
Quarter,0.0007056043183137887
IsWeekend,0.0060852506083679744
IsMonthStart,0.0017126876131591698
IsMonthEnd,0.000257869902096681
Season,0.003223046858132361
CompetitionOpen,0.028894936090358602
LogCompetitionDistance,0.1938111914076391
Promo2Open,0.025445224716014323
IsPromo2Month,0.0006950808670614874
StoreType_enc,0.030876804102145695
Assortment_enc,0.04235949810962895
Promo2,0.04300922193912701
