Store,Cluster,ClusterName,AvgSales,StdSales,CV
1,0,MID-VOLUME STORES,4759.096030729834,1012.1063931339861,0.2126677811497689
2,0,MID-VOLUME STORES,4953.900510204082,1610.1491019698924,0.3250265318516783
3,0,MID-VOLUME STORES,6942.568677792041,2193.3838042966454,0.31593260450024263
4,1,HIGH-VOLUME STORES,9638.401785714286,1936.0318808651007,0.2008664842893997
5,0,MID-VOLUME STORES,4676.274711168165,1765.7456282447836,0.3775966420509304
6,0,MID-VOLUME STORES,5509.946153846154,1577.3801331284312,0.28627868387195754
7,1,HIGH-VOLUME STORES,8817.050890585242,2448.618883814134,0.27771404681680406
8,0,MID-VOLUME STORES,5539.3584183673465,1894.0945579586112,0.34193392355298624
9,0,MID-VOLUME STORES,6562.337612323492,1628.6539398516463,0.24818197966425526
10,0,MID-VOLUME STORES,5568.4209183673465,1051.1327740493298,0.18876675981554938
11,1,HIGH-VOLUME STORES,8030.977040816327,2242.5260261055687,0.2792345208694087
12,0,MID-VOLUME STORES,7589.598214285715,2055.967799328141,0.27089283797108565
13,0,MID-VOLUME STORES,5034.747181964573,1617.506666141505,0.32126869685447623
14,0,MID-VOLUME STORES,5508.567394094994,1479.6472358071142,0.2686083567559232
15,0,MID-VOLUME STORES,6672.844387755102,1625.6661575976307,0.24362416731623232
16,0,MID-VOLUME STORES,7680.683397683398,1904.3579559463253,0.24794121269478528
17,0,MID-VOLUME STORES,6335.6624040920715,2497.622418941427,0.3942164622484091
18,0,MID-VOLUME STORES,6560.277493606138,1783.419400041794,0.2718512138823355
19,0,MID-VOLUME STORES,6464.915275994866,1842.0713550596743,0.284933564697985
20,0,MID-VOLUME STORES,7756.9353796445885,1695.430874493675,0.21856967881191208
21,0,MID-VOLUME STORES,5482.320463320463,1790.771323911026,0.326644773119741
22,0,MID-VOLUME STORES,4525.857835218094,1140.0046112788557,0.2518869687880774
23,0,MID-VOLUME STORES,5520.281129653402,1605.5300230134883,0.29084207584809973
24,1,HIGH-VOLUME STORES,9388.28626444159,2604.8210323838753,0.2774543680298407
25,1,HIGH-VOLUME STORES,11168.742666666667,2807.8711955228787,0.25140441313085543
26,0,MID-VOLUME STORES,6671.695652173913,2012.8004028395899,0.3016924793599865
27,1,HIGH-VOLUME STORES,9478.57381258023,2915.379757284599,0.3075757824890517
28,0,MID-VOLUME STORES,5313.736979166667,2128.425550912101,0.40055154390533904
29,0,MID-VOLUME STORES,7364.775353016688,2204.586750381418,0.29934202262916226
30,0,MID-VOLUME STORES,5294.782496782497,1542.345143458142,0.2912952787759243
31,0,MID-VOLUME STORES,5862.427295918367,1333.9646416623827,0.22754476504828247
32,0,MID-VOLUME STORES,4067.8212560386473,1278.9942679128415,0.31441751920986816
33,0,MID-VOLUME STORES,8436.659820282413,1745.3864720537538,0.20688121949135643
34,0,MID-VOLUME STORES,8031.485969387755,1513.0003548832915,0.18838361427139844
35,1,HIGH-VOLUME STORES,9703.071887034659,2998.390768904521,0.30901458876245164
36,1,HIGH-VOLUME STORES,9363.638263665594,1323.5946660328486,0.1413547414757455
37,0,MID-VOLUME STORES,7114.170512820513,1890.9912745470517,0.2658062905772751
38,0,MID-VOLUME STORES,6004.643132220795,1811.5706491756546,0.30169497325408107
39,0,MID-VOLUME STORES,4852.571245186136,1864.5306530848238,0.38423560600670864
40,0,MID-VOLUME STORES,4902.3389175257735,1125.8411678870502,0.22965388293783368
41,0,MID-VOLUME STORES,5335.059485530546,1377.7957499211793,0.25825311857495886
42,1,HIGH-VOLUME STORES,10178.136071887035,2487.339190543346,0.24438061870813554
43,0,MID-VOLUME STORES,6822.9139922978175,1963.712854219552,0.2878114624391174
44,0,MID-VOLUME STORES,5478.5,1585.82126854997,0.28946267565026373
45,0,MID-VOLUME STORES,5348.469833119384,1321.448189986602,0.24707032688186537
46,0,MID-VOLUME STORES,5352.290996784566,1578.7542033734119,0.29496793136282423
47,0,MID-VOLUME STORES,7145.102040816327,1745.3600146931933,0.24427363034465302
48,0,MID-VOLUME STORES,3934.966836734694,905.3725079817355,0.23008389791997072
49,0,MID-VOLUME STORES,7304.113256113256,1811.9482445050064,0.24807230952894616
50,0,MID-VOLUME STORES,4256.070603337613,1181.059842281453,0.27750005870562044
51,0,MID-VOLUME STORES,6675.286173633441,1516.2807743197864,0.2271484300267019
52,0,MID-VOLUME STORES,7407.945337620578,1995.8422871084854,0.269419143385519
53,0,MID-VOLUME STORES,5264.807397959184,1479.465504394612,0.28101037560616227
54,0,MID-VOLUME STORES,7907.538853503184,2081.5791454093887,0.26323982518115746
55,0,MID-VOLUME STORES,4598.989743589744,1533.8537787314715,0.3335197215582875
56,0,MID-VOLUME STORES,7321.754161331626,1730.4316916555447,0.23634113540638554
57,1,HIGH-VOLUME STORES,10605.50455136541,3687.7729973511496,0.347722541581142
58,0,MID-VOLUME STORES,6336.158908507223,1789.0905876047868,0.28236201355409035
59,0,MID-VOLUME STORES,5501.312020460358,1913.4280871368167,0.34781304532817575
60,1,HIGH-VOLUME STORES,8033.087179487179,2697.448807085022,0.3357922983797648
61,0,MID-VOLUME STORES,4722.005148005148,1192.8490725013266,0.252614945370243
62,0,MID-VOLUME STORES,6503.86649550706,1831.510494555029,0.28160333485016276
63,0,MID-VOLUME STORES,6956.3877551020405,1858.9440204496022,0.26722834981218413
64,1,HIGH-VOLUME STORES,10359.525032092426,2644.0081093076624,0.2552248390845022
65,0,MID-VOLUME STORES,5112.8948717948715,1757.783812774258,0.34379424119807717
66,0,MID-VOLUME STORES,6114.360360360361,1158.2185825316049,0.18942596024277233
67,1,HIGH-VOLUME STORES,7828.930501930502,2188.942863248343,0.27959666556097046
68,1,HIGH-VOLUME STORES,7563.252551020408,1927.5124686299735,0.25485232122387874
69,1,HIGH-VOLUME STORES,9426.451984635083,2172.9050244886403,0.23051144036276103
70,0,MID-VOLUME STORES,6608.028132992327,1677.9831918220239,0.25393099999744995
71,1,HIGH-VOLUME STORES,9061.09756097561,2583.332567633143,0.285101506770996
72,0,MID-VOLUME STORES,4420.025682182985,1773.281547381775,0.40119258911318756
73,0,MID-VOLUME STORES,4576.978316326531,1356.5547002246653,0.29638652544752103
74,0,MID-VOLUME STORES,6256.630154639175,1706.9473423306074,0.27282215827715783
75,0,MID-VOLUME STORES,6023.4540816326535,1289.8346228143537,0.2141353790257076
76,1,HIGH-VOLUME STORES,8999.54735152488,2068.1852516867093,0.22980991942181145
77,0,MID-VOLUME STORES,7621.489116517286,1958.089885301454,0.25691696929119573
78,0,MID-VOLUME STORES,3717.473076923077,1091.6862205561931,0.29366351765478643
79,0,MID-VOLUME STORES,5474.240669240669,1547.2317373174697,0.282638603379505
